athlete_id,date,time_s,heart_rate_bpm,speed_kmh
A001,2026-11-09,257,116.0,0.88
A001,2026-11-09,258,121.0,1.31
A001,2026-11-09,259,116.0,2.01
A001,2026-11-09,260,120.0,1.76
A001,2026-11-09,261,117.0,2.24
A001,2026-11-09,262,118.0,1.29
A001,2026-11-09,263,115.0,2.46
A001,2026-11-09,264,115.0,1.35
A001,2026-11-09,265,118.0,3.06
A001,2026-11-09,266,119.0,1.07
A001,2026-11-09,267,117.0,1.47
A001,2026-11-09,268,115.0,2.4
A001,2026-11-09,269,115.0,3.17
A001,2026-11-09,270,115.0,2.38
A001,2026-11-09,271,114.0,2.56
A001,2026-11-09,272,118.0,2.26
A001,2026-11-09,273,120.0,1.65
A001,2026-11-09,274,118.0,2.0
A001,2026-11-09,275,114.0,1.59
A001,2026-11-09,276,118.0,1.58
A001,2026-11-09,277,119.0,2.62
A001,2026-11-09,278,123.0,1.73
A001,2026-11-09,279,116.0,2.62
A001,2026-11-09,280,119.0,1.68
A001,2026-11-09,281,123.0,2.67
A001,2026-11-09,282,121.0,2.23
A001,2026-11-09,283,121.0,3.39
A001,2026-11-09,284,121.0,2.77
A001,2026-11-09,285,121.0,3.35
A001,2026-11-09,286,122.0,2.19
A001,2026-11-09,287,119.0,2.71
A001,2026-11-09,288,123.0,2.12
A001,2026-11-09,289,119.0,2.49
A001,2026-11-09,290,122.0,2.62
A001,2026-11-09,291,122.0,2.37
A001,2026-11-09,292,121.0,2.11
A001,2026-11-09,293,122.0,2.03
A001,2026-11-09,294,121.0,1.51
A001,2026-11-09,295,121.0,2.32
A001,2026-11-09,296,122.0,3.36
A001,2026-11-09,297,121.0,2.07
A001,2026-11-09,298,124.0,2.24
A001,2026-11-09,299,122.0,4.18
A001,2026-11-09,300,126.0,2.76
A001,2026-11-09,301,122.0,3.37
A001,2026-11-09,302,124.0,3.61
A001,2026-11-09,303,124.0,3.66
A001,2026-11-09,304,128.0,2.39
A001,2026-11-09,305,126.0,3.21
A001,2026-11-09,306,,2.42
A001,2026-11-09,307,127.0,4.9
A001,2026-11-09,308,122.0,2.52
A001,2026-11-09,309,127.0,2.89
A001,2026-11-09,310,131.0,2.94
A001,2026-11-09,311,128.0,2.71
A001,2026-11-09,312,128.0,4.47
A001,2026-11-09,313,129.0,5.16
A001,2026-11-09,314,130.0,3.47
A001,2026-11-09,315,125.0,3.01
A001,2026-11-09,316,126.0,2.5
A001,2026-11-09,317,130.0,3.75
A001,2026-11-09,318,128.0,3.75
A001,2026-11-09,319,133.0,3.6
A001,2026-11-09,320,130.0,4.18
A001,2026-11-09,321,127.0,4.33
A001,2026-11-09,322,128.0,4.34
A001,2026-11-09,323,126.0,4.01
A001,2026-11-09,324,131.0,3.59
A001,2026-11-09,325,132.0,4.7
A001,2026-11-09,326,132.0,4.36
A001,2026-11-09,327,135.0,4.94
A001,2026-11-09,328,136.0,4.94
A001,2026-11-09,329,133.0,3.67
A001,2026-11-09,330,130.0,3.71
A001,2026-11-09,331,136.0,4.18
A001,2026-11-09,332,136.0,4.05
A001,2026-11-09,333,136.0,5.19
A001,2026-11-09,334,137.0,5.01
A001,2026-11-09,335,133.0,5.51
A001,2026-11-09,336,140.0,5.15
A001,2026-11-09,337,135.0,5.1
A001,2026-11-09,338,138.0,5.75
A001,2026-11-09,339,134.0,5.37
A001,2026-11-09,340,136.0,5.19
A001,2026-11-09,341,141.0,6.09
A001,2026-11-09,342,138.0,5.33
A001,2026-11-09,343,141.0,5.14
A001,2026-11-09,344,140.0,4.88
A001,2026-11-09,345,140.0,5.87
A001,2026-11-09,346,143.0,6.25
A001,2026-11-09,347,140.0,5.54
A001,2026-11-09,348,138.0,6.41
A001,2026-11-09,349,140.0,4.51
A001,2026-11-09,350,143.0,5.72
A001,2026-11-09,351,143.0,5.79
A001,2026-11-09,352,140.0,5.44
A001,2026-11-09,353,142.0,7.37
A001,2026-11-09,354,142.0,5.96
A001,2026-11-09,355,143.0,5.82
A001,2026-11-09,356,142.0,6.14
A001,2026-11-09,357,144.0,4.99
A001,2026-11-09,358,144.0,5.8
A001,2026-11-09,359,147.0,6.91
A001,2026-11-09,360,148.0,6.0
A001,2026-11-09,361,146.0,5.94
A001,2026-11-09,362,146.0,7.29
A001,2026-11-09,363,148.0,7.37
A001,2026-11-09,364,146.0,6.94
A001,2026-11-09,365,146.0,6.42
A001,2026-11-09,366,147.0,6.61
A001,2026-11-09,367,148.0,6.34
A001,2026-11-09,368,147.0,6.29
A001,2026-11-09,369,150.0,6.32
A001,2026-11-09,370,152.0,6.64
A001,2026-11-09,371,148.0,6.45
A001,2026-11-09,372,151.0,6.2
A001,2026-11-09,373,151.0,7.33
A001,2026-11-09,374,153.0,7.4
A001,2026-11-09,375,153.0,8.35
A001,2026-11-09,376,150.0,6.99
A001,2026-11-09,377,151.0,7.63
A001,2026-11-09,378,154.0,7.7
A001,2026-11-09,379,156.0,7.42
A001,2026-11-09,380,150.0,8.08
A001,2026-11-09,381,156.0,8.16
A001,2026-11-09,382,158.0,7.95
A001,2026-11-09,383,156.0,7.67
A001,2026-11-09,384,157.0,7.67
A001,2026-11-09,385,155.0,7.12
A001,2026-11-09,386,157.0,7.52
A001,2026-11-09,387,154.0,7.69
A001,2026-11-09,388,153.0,7.44
A001,2026-11-09,389,160.0,8.44
A001,2026-11-09,390,157.0,8.95
A001,2026-11-09,391,158.0,7.75
A001,2026-11-09,392,157.0,8.52
A001,2026-11-09,393,157.0,7.79
A001,2026-11-09,394,160.0,8.28
A001,2026-11-09,395,159.0,8.11
A001,2026-11-09,396,162.0,8.94
A001,2026-11-09,397,162.0,8.23
A001,2026-11-09,398,163.0,9.29
A001,2026-11-09,399,163.0,8.59
A001,2026-11-09,400,166.0,8.41
A001,2026-11-09,401,161.0,8.1
A001,2026-11-09,402,163.0,9.05
A001,2026-11-09,403,166.0,9.49
A001,2026-11-09,404,167.0,9.17
A001,2026-11-09,405,162.0,10.4
A001,2026-11-09,406,164.0,9.96
A001,2026-11-09,407,168.0,8.97
A001,2026-11-09,408,166.0,9.01
A001,2026-11-09,409,166.0,9.54
A001,2026-11-09,410,166.0,8.8
A001,2026-11-09,411,166.0,10.05
A001,2026-11-09,412,167.0,9.61
A001,2026-11-09,413,166.0,9.6
A001,2026-11-09,414,167.0,9.9
A001,2026-11-09,415,168.0,10.57
A001,2026-11-09,416,167.0,9.68
A001,2026-11-09,417,169.0,9.55
A001,2026-11-09,418,174.0,10.57
A001,2026-11-09,419,165.0,10.28
A001,2026-11-09,420,170.0,9.55
A001,2026-11-09,421,168.0,9.79
A001,2026-11-09,422,171.0,9.94
A001,2026-11-09,423,170.0,10.08
A001,2026-11-09,424,172.0,9.09
A001,2026-11-09,425,173.0,9.01
A001,2026-11-09,426,171.0,9.44
A001,2026-11-09,427,173.0,9.43
A001,2026-11-09,428,166.0,9.66
A001,2026-11-09,429,175.0,10.46
A001,2026-11-09,430,172.0,10.01
A001,2026-11-09,431,174.0,10.26
A001,2026-11-09,432,170.0,9.44
A001,2026-11-09,433,171.0,9.93
A001,2026-11-09,434,173.0,10.59
A001,2026-11-09,435,173.0,10.62
A001,2026-11-09,436,173.0,9.86
A001,2026-11-09,437,175.0,10.42
A001,2026-11-09,438,170.0,11.67
A001,2026-11-09,439,175.0,10.37
A001,2026-11-09,440,174.0,9.99
A001,2026-11-09,441,173.0,10.32
A001,2026-11-09,442,171.0,10.5
A001,2026-11-09,443,175.0,10.38
A001,2026-11-09,444,169.0,10.48
A001,2026-11-09,445,176.0,9.65
A001,2026-11-09,446,171.0,9.96
A001,2026-11-09,447,175.0,10.47
A001,2026-11-09,448,174.0,10.48
A001,2026-11-09,449,177.0,10.25
A001,2026-11-09,450,175.0,10.5
A001,2026-11-09,451,174.0,10.66
A001,2026-11-09,452,174.0,11.18
A001,2026-11-09,453,178.0,10.6
A001,2026-11-09,454,176.0,10.91
A001,2026-11-09,455,175.0,10.36
A001,2026-11-09,456,175.0,11.04
A001,2026-11-09,457,173.0,10.94
A001,2026-11-09,458,176.0,11.24
A001,2026-11-09,459,172.0,11.16
A001,2026-11-09,460,177.0,11.1
A001,2026-11-09,461,176.0,10.69
A001,2026-11-09,462,181.0,10.91
A001,2026-11-09,463,174.0,11.41
A001,2026-11-09,464,176.0,10.39
A001,2026-11-09,465,180.0,10.41
A001,2026-11-09,466,179.0,10.9
A001,2026-11-09,467,175.0,11.05
A001,2026-11-09,468,177.0,10.31
A001,2026-11-09,469,176.0,10.76
A001,2026-11-09,470,177.0,10.75
A001,2026-11-09,471,175.0,9.48
A001,2026-11-09,472,176.0,10.68
A001,2026-11-09,473,173.0,10.72
A001,2026-11-09,474,177.0,10.72
A001,2026-11-09,475,,11.67
A001,2026-11-09,476,176.0,10.09
A001,2026-11-09,477,173.0,10.32
A001,2026-11-09,478,178.0,9.25
A001,2026-11-09,479,177.0,10.53
A001,2026-11-09,480,175.0,10.58
A001,2026-11-09,481,176.0,10.47
A001,2026-11-09,482,173.0,11.41
A001,2026-11-09,483,174.0,11.22
A001,2026-11-09,484,174.0,10.71
A001,2026-11-09,485,178.0,10.41
A001,2026-11-09,486,174.0,11.21
A001,2026-11-09,487,176.0,10.54
A001,2026-11-09,488,173.0,10.02
A001,2026-11-09,489,175.0,9.45
A001,2026-11-09,490,173.0,10.17
A001,2026-11-09,491,175.0,10.85
A001,2026-11-09,492,172.0,11.72
A001,2026-11-09,493,170.0,10.36
A001,2026-11-09,494,170.0,9.82
A001,2026-11-09,495,171.0,9.53
A001,2026-11-09,496,170.0,10.53
A001,2026-11-09,497,173.0,9.11
A001,2026-11-09,498,171.0,10.46
A001,2026-11-09,499,176.0,10.58
A001,2026-11-09,500,168.0,10.31
A001,2026-11-09,501,171.0,9.88
A001,2026-11-09,502,168.0,10.31
A001,2026-11-09,503,169.0,10.04
A001,2026-11-09,504,170.0,9.43
A001,2026-11-09,505,165.0,10.97
A001,2026-11-09,506,170.0,9.61
A001,2026-11-09,507,173.0,10.25
A001,2026-11-09,508,168.0,8.29
A001,2026-11-09,509,169.0,10.47
A001,2026-11-09,510,171.0,10.55
A001,2026-11-09,511,168.0,9.65
A001,2026-11-09,512,167.0,9.93
A001,2026-11-09,513,163.0,9.9
A001,2026-11-09,514,169.0,9.14
A001,2026-11-09,515,167.0,9.82
A001,2026-11-09,516,165.0,8.97
A001,2026-11-09,517,167.0,9.06
A001,2026-11-09,518,165.0,10.06
A001,2026-11-09,519,165.0,9.94
A001,2026-11-09,520,167.0,8.9
A001,2026-11-09,521,163.0,8.85
A001,2026-11-09,522,168.0,8.87
A001,2026-11-09,523,163.0,9.66
A001,2026-11-09,524,164.0,8.59
A001,2026-11-09,525,169.0,9.38
A001,2026-11-09,526,167.0,9.58
A001,2026-11-09,527,165.0,9.05
A001,2026-11-09,528,163.0,9.68
A001,2026-11-09,529,163.0,8.86
A001,2026-11-09,530,164.0,8.89
A001,2026-11-09,531,164.0,8.4
A001,2026-11-09,532,164.0,9.57
A001,2026-11-09,533,164.0,8.48
A001,2026-11-09,534,163.0,9.12
A001,2026-11-09,535,160.0,8.84
A001,2026-11-09,536,162.0,8.23
A001,2026-11-09,537,165.0,8.47
A001,2026-11-09,538,160.0,9.65
A001,2026-11-09,539,162.0,8.92
A001,2026-11-09,540,161.0,8.17
A001,2026-11-09,541,163.0,8.94
A001,2026-11-09,542,161.0,8.65
A001,2026-11-09,543,165.0,10.79
A001,2026-11-09,544,163.0,8.87
A001,2026-11-09,545,159.0,8.45
A001,2026-11-09,546,163.0,9.51
A001,2026-11-09,547,160.0,7.54
A001,2026-11-09,548,160.0,8.69
A001,2026-11-09,549,162.0,9.81
A001,2026-11-09,550,160.0,8.53
A001,2026-11-09,551,163.0,7.55
A001,2026-11-09,552,160.0,8.34
A001,2026-11-09,553,160.0,9.44
A001,2026-11-09,554,160.0,8.78
A001,2026-11-09,555,160.0,8.04
A001,2026-11-09,556,163.0,8.13
A001,2026-11-09,557,162.0,8.2
A001,2026-11-09,558,164.0,8.74
A001,2026-11-09,559,165.0,9.32
A001,2026-11-09,560,159.0,9.14
A001,2026-11-09,561,161.0,8.78
A001,2026-11-09,562,158.0,7.71
A001,2026-11-09,563,159.0,7.71
A001,2026-11-09,564,159.0,8.82
A001,2026-11-09,565,158.0,7.69
A001,2026-11-09,566,158.0,8.36
A001,2026-11-09,567,160.0,8.68
A001,2026-11-09,568,158.0,7.82
A001,2026-11-09,569,162.0,7.89
A001,2026-11-09,570,159.0,8.45
A001,2026-11-09,571,166.0,8.82
A001,2026-11-09,572,160.0,9.16
A001,2026-11-09,573,161.0,8.89
A001,2026-11-09,574,158.0,8.58
A001,2026-11-09,575,164.0,8.09
A001,2026-11-09,576,163.0,7.9
A001,2026-11-09,577,162.0,8.25
A001,2026-11-09,578,158.0,8.81
A001,2026-11-09,579,162.0,8.78
A001,2026-11-09,580,159.0,7.33
A001,2026-11-09,581,164.0,8.13
A001,2026-11-09,582,163.0,9.34
A001,2026-11-09,583,162.0,8.68
A001,2026-11-09,584,157.0,7.8
A001,2026-11-09,585,160.0,10.08
A001,2026-11-09,586,163.0,8.66
A001,2026-11-09,587,164.0,8.93
A001,2026-11-09,588,164.0,8.95
A001,2026-11-09,589,159.0,8.51
A001,2026-11-09,590,163.0,8.32
A001,2026-11-09,591,164.0,10.05
A001,2026-11-09,592,159.0,9.4
A001,2026-11-09,593,163.0,9.31
A001,2026-11-09,594,163.0,9.19
A001,2026-11-09,595,162.0,8.26
A001,2026-11-09,596,160.0,9.65
A001,2026-11-09,597,163.0,8.41
A001,2026-11-09,598,163.0,9.11
A001,2026-11-09,599,163.0,7.98
A001,2026-11-09,600,163.0,7.77
A001,2026-11-09,601,163.0,9.21
A001,2026-11-09,602,164.0,8.56
A001,2026-11-09,603,165.0,7.88
A001,2026-11-09,604,164.0,9.43
A001,2026-11-09,605,164.0,10.4
A001,2026-11-09,606,165.0,10.0
A001,2026-11-09,607,161.0,9.04
A001,2026-11-09,608,166.0,9.23
A001,2026-11-09,609,166.0,9.79
A001,2026-11-09,610,166.0,9.96
A001,2026-11-09,611,168.0,9.12
A001,2026-11-09,612,163.0,9.38
A001,2026-11-09,613,163.0,9.57
A001,2026-11-09,614,167.0,9.75
A001,2026-11-09,615,167.0,9.38
A001,2026-11-09,616,168.0,9.42
A001,2026-11-09,617,167.0,10.35
A001,2026-11-09,618,169.0,10.29
A001,2026-11-09,619,170.0,9.88
A001,2026-11-09,620,169.0,10.67
A001,2026-11-09,621,168.0,9.44
A001,2026-11-09,622,165.0,10.68
A001,2026-11-09,623,171.0,10.07
A001,2026-11-09,624,172.0,11.74
A001,2026-11-09,625,171.0,9.1
A001,2026-11-09,626,168.0,9.44
A001,2026-11-09,627,171.0,10.15
A001,2026-11-09,628,172.0,10.17
A001,2026-11-09,629,174.0,11.14
A001,2026-11-09,630,169.0,9.61
A001,2026-11-09,631,171.0,10.59
A001,2026-11-09,632,173.0,10.79
A001,2026-11-09,633,172.0,10.55
A001,2026-11-09,634,170.0,9.59
A001,2026-11-09,635,173.0,11.05
A001,2026-11-09,636,174.0,10.98
A001,2026-11-09,637,173.0,10.64
A001,2026-11-09,638,173.0,10.44
A001,2026-11-09,639,173.0,10.5
A001,2026-11-09,640,176.0,10.35
A001,2026-11-09,641,172.0,10.82
A001,2026-11-09,642,173.0,10.49
A001,2026-11-09,643,174.0,10.01
A001,2026-11-09,644,176.0,9.92
A001,2026-11-09,645,172.0,10.14
A001,2026-11-09,646,172.0,10.76
A001,2026-11-09,647,171.0,10.65
A001,2026-11-09,648,176.0,10.83
A001,2026-11-09,649,174.0,11.04
A001,2026-11-09,650,175.0,10.4
A001,2026-11-09,651,178.0,11.7
A001,2026-11-09,652,175.0,10.69
A001,2026-11-09,653,177.0,10.63
A001,2026-11-09,654,176.0,11.21
A001,2026-11-09,655,179.0,9.86
A001,2026-11-09,656,179.0,10.52
A001,2026-11-09,657,176.0,11.62
A001,2026-11-09,658,178.0,10.02
A001,2026-11-09,659,180.0,11.77
A001,2026-11-09,660,179.0,12.04
A001,2026-11-09,661,176.0,10.95
A001,2026-11-09,662,180.0,11.38
A001,2026-11-09,663,177.0,11.9
A001,2026-11-09,664,182.0,10.98
A001,2026-11-09,665,182.0,11.82
A001,2026-11-09,666,180.0,10.92
A001,2026-11-09,667,180.0,11.07
A001,2026-11-09,668,180.0,10.91
A001,2026-11-09,669,182.0,11.62
A001,2026-11-09,670,180.0,12.14
A001,2026-11-09,671,181.0,11.36
A001,2026-11-09,672,183.0,10.74
A001,2026-11-09,673,180.0,10.88
A001,2026-11-09,674,180.0,11.79
A001,2026-11-09,675,179.0,12.69
A001,2026-11-09,676,180.0,11.84
A001,2026-11-09,677,178.0,11.4
A001,2026-11-09,678,183.0,12.11
A001,2026-11-09,679,186.0,11.53
A001,2026-11-09,680,185.0,11.47
A001,2026-11-09,681,179.0,11.14
A001,2026-11-09,682,184.0,12.58
A001,2026-11-09,683,186.0,10.24
A001,2026-11-09,684,182.0,12.26
A001,2026-11-09,685,183.0,11.52
A001,2026-11-09,686,179.0,11.57
A001,2026-11-09,687,184.0,12.85
A001,2026-11-09,688,181.0,11.42
A001,2026-11-09,689,184.0,11.46
A001,2026-11-09,690,180.0,11.8
A001,2026-11-09,691,185.0,12.14
A001,2026-11-09,692,186.0,11.64
A001,2026-11-09,693,182.0,10.97
A001,2026-11-09,694,182.0,11.41
A001,2026-11-09,695,180.0,12.71
A001,2026-11-09,696,184.0,11.99
